x,y,human20_585
18.85,108.63,34.38819
18.85,108.87,30.582167
18.84,109.11,30.343546
18.84,109.35,30.042461
18.83,109.59,29.761873
18.82,109.83,29.475058
18.81,110.07,30.149809
18.8,110.31,31.307571
18.79,110.55,31.094898
18.78,110.79,30.638653
18.77,111.03,30.18446
18.76,111.27,29.945898
18.74,111.51,29.707785
18.73,111.75,29.433456
18.72,111.99,29.142445
18.7,112.23,28.938145
18.68,112.47,28.80053
18.67,112.71,28.611893
18.65,112.95,28.347677
18.63,113.19,28.049372
18.61,113.43,27.80408
18.6,113.67,27.655106
18.58,113.91,27.45982
18.55,114.15,27.185888
18.53,114.38,26.938929
18.51,114.62,26.664618
18.49,114.86,26.342684
18.47,115.1,26.061464
18.44,115.34,25.821741
18.42,115.58,25.579264
18.39,115.81,25.347767
18.37,116.05,25.070246
18.34,116.29,24.849442
18.31,116.53,24.677488
18.29,116.76,24.503511
18.26,117,24.406092
18.23,117.24,24.378445
18.2,117.47,24.353664
18.17,117.71,24.396788
18.14,117.95,24.489805
18.1,118.18,24.628824
18.07,118.42,24.716822
18.04,118.65,24.743637
18.01,118.89,24.88065
17.97,119.12,25.03007
17.94,119.36,25.101074
17.9,119.59,25.203661
17.86,119.83,25.188578
17.83,120.06,24.810938
17.79,120.29,24.34734
17.75,120.53,22.28519
17.71,120.76,21.15581
17.67,121,21.384764
17.63,121.23,21.916407
17.59,121.46,20.430447
17.55,121.69,20.963531
17.51,121.93,21.718412
17.47,122.16,21.840483
17.42,122.39,22.607653
17.38,122.62,22.85077
17.33,122.85,23.739494
17.29,123.08,24.17465
17.24,123.31,24.161087
17.2,123.54,24.071941
17.15,123.78,23.982939
17.1,124,23.895105
17.05,124.23,23.75398
17.01,124.46,23.536951
16.96,124.69,23.124342
16.91,124.92,23.007778
16.85,125.15,22.961704
16.8,125.38,22.7995
16.75,125.61,22.433525
15.36,81.95,32.95459
15.43,82.17,33.62168
15.5,82.39,33.65174
15.56,82.61,33.45666
15.63,82.83,33.18603
